"","Well_Label","Phenotype","Firing_rate_Hz","EB_Dur","EB_Dur_Std","Spikes_per_EB","Spikes_per_EB_Std","EB_ISI","EB_ISI_Std","IEBI","IEBI_Std","IEBI_CV","IEBI_CV_Std","EB_rate_Hz","EB_rate_Std","EB_prop","EB_prop_Std","hfNB_rate","NB_prop","NB_dur","NB_dur_Std","Firing_Rate_in_NB_Hz","Firing_Rate_in_NB_Std","INBI","INBI_Std","batch","cell_line_batch","machine","PT_all_path","DIV_range","Syndrome","Gene","Identidy","Own_control","Remove","isogenic","Remarks","Pool_Kleefstra","Pool_WTC_CHD2","Pool_CACNA1A","Pool_SMARCB1","Pool_ARID1B_2_rescue","Pool_dravet","hfNB_and_NB_prop","hf_and_NB_rate","Unique_ID","PT_all_path_Well_Label","DIV49_sub","dev_sub"
"1","A1","114_CTRL2",1.762,0.529083333333333,0.337257511091864,49.72425,53.1915858300318,0.0160579823685662,0.00721022869788459,46.1878333333333,5.90501461522837,0.4065,0.103744879391708,0.02125,0.0023703769465397,61.8583333333333,17.7387504906545,0,0.533596837944664,0.584461538461544,0.016636382742925,74.0251898833323,1.36910481647349,44.8563333333333,15.8359885607742,"MEA5103","114_CTRL2MEA5103","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103","DIV28","Control","Control","Control","","","yes","",NA,NA,NA,NA,NA,"WTC/114_CTRL2",0.533596837944664,0.0216666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A1_1","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A1","yes","yes"
"2","A2","114_CTRL2",2.38283333333333,0.452666666666667,0.257824934732266,40.7934166666667,33.0424475580849,0.0161342909397241,0.00814662381304655,42.2903636363636,36.9269087855258,0.544363636363636,0.337046071843976,0.0297222222222222,0.0188271420948927,64.2415833333333,27.0101294112155,0,0.574535066752172,0.613875000000001,0.0152397506541247,83.6203212227997,1.16361361077617,36.6985333333333,7.53815492645501,"MEA5103","114_CTRL2MEA5103","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103","DIV28","Control","Control","Control","","","yes","",NA,NA,NA,NA,NA,"WTC/114_CTRL2",0.574535066752172,0.0266666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A2_2","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A2","yes","yes"
"3","A3","114_CTRL2",2.56083333333333,0.59925,0.212744031002688,64.3393333333333,33.4023068292469,0.0110444668100205,0.00392582422247744,37.3635833333333,9.01552808374462,0.443916666666667,0.239237979021017,0.0269444444444444,0.00803506624504674,73.8665833333333,16.4873480664767,0,0.627893078344018,0.622428571428563,0.0114536812067941,110.516074965772,0.949067148734243,41.2567692307692,11.1503700249053,"MEA5103","114_CTRL2MEA5103","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103","DIV28","Control","Control","Control","","","yes","",NA,NA,NA,NA,NA,"WTC/114_CTRL2",0.627893078344018,0.0233333333333333,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A3_3","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A3","yes","yes"
"4","A4","114_CTRL2",2.11216666666667,0.3705,0.218935648494753,27.9059166666667,24.9767338080802,0.0187029091885895,0.00769113578853653,52.976,21.8006718347037,0.5023,0.423954937332836,0.0490277777777778,0.119188032272695,52.034,26.6406256376166,0,0.313418088399974,0.599777777777764,0.0174196568406005,73.4608652403424,2.05228312066244,67.1,14.2741820881518,"MEA5103","114_CTRL2MEA5103","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103","DIV28","Control","Control","Control","","","yes","",NA,NA,NA,NA,NA,"WTC/114_CTRL2",0.313418088399974,0.015,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A4_4","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A4","yes","yes"
"5","A5","114_CTRL2",1.31166666666667,0.372666666666667,0.201977196432637,29.515,23.8833020025593,0.0162450153570571,0.00545655774491409,41.5343636363636,9.87819243862689,0.479454545454545,0.186609948093002,0.0233333333333333,0.0122680499878771,55.1749166666667,22.8091406456364,0,0.566401695813461,0.566307692307696,0.0194909577983628,60.489639999919,1.3071668887813,45.1001666666667,15.1585919580783,"MEA5103","114_CTRL2MEA5103","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103","DIV28","Control","Control","Control","","","yes","",NA,NA,NA,NA,NA,"WTC/114_CTRL2",0.566401695813461,0.0216666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A5_5","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A5","yes","yes"
"6","A6","114_CTRL2",0.862,0.326416666666667,0.227483649096063,25.03025,26.8275402224349,0.019525697673051,0.00785728050020147,61.1095,15.4617921359574,0.488,0.19188306624377,0.0143055555555556,0.00796007503813844,45.0290833333333,22.9931171023707,0,0.505480335267569,0.5634,0.0243502224493629,46.3940753940656,1.56238568087677,61.4168888888889,15.798869266853,"MEA5103","114_CTRL2MEA5103","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103","DIV28","Control","Control","Control","","","yes","",NA,NA,NA,NA,NA,"WTC/114_CTRL2",0.505480335267569,0.0166666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A6_6","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/114_CTRL2/MEA5103_A6","yes","yes"
"7","C1","122",0.579833333333333,0.0944166666666667,0.105001695513006,3.63358333333333,4.31009205677545,0.0319546018637368,0.00543074492334116,44.5805,34.8455890049228,0.595,0.245895099585169,0.0194444444444444,0.0288441767430886,15.2835833333333,22.6321340192469,0.00166666666666667,0.687514977234603,0.823589743589749,0.113951217159085,7.86223367212999,2.4012234108573,14.5048947368421,2.686746799942,"MEA2192_02_04_21","122MEA2192_02_04_21","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21","DIV28","NANS","NANS","Patient","WTC","","","",NA,NA,NA,NA,NA,NA,0.691349149293074,0.0666666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_C1_7","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_C1","yes","yes"
"8","C2","122",0.8715,0.199166666666667,0.249974119872559,10.3570833333333,15.0959645327565,0.0249054149959549,0.00751418633634694,24.1837142857143,8.32703474061617,0.553142857142857,0.118790331496898,0.0261111111111111,0.0257251727260384,31.2965,32.7910997001542,0,0.739990113692536,0.964160000000007,0.115456947242973,15.6120351675766,1.05229343010372,22.2750833333333,1.15773061057687,"MEA2192_02_04_21","122MEA2192_02_04_21","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21","DIV28","NANS","NANS","Patient","WTC","","","",NA,NA,NA,NA,NA,NA,0.739990113692536,0.0416666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_C2_8","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_C2","yes","yes"
"9","C3","122",0.451833333333333,0.08725,0.141203351106255,3.30191666666667,5.51026513894886,0.0315679132126474,0.00547999159471775,45.33275,58.3090110438915,0.74,0.358715300296303,0.0184722222222222,0.0345567775612958,16.7863333333333,30.5633620364268,0,0.451523545706371,1.187,0.196319467535269,6.48035539962748,0.508763265039017,26.8905333333333,10.2643217983924,"MEA2192_02_04_21","122MEA2192_02_04_21","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21","DIV28","NANS","NANS","Patient","WTC","","","",NA,NA,NA,NA,NA,NA,0.451523545706371,0.0266666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_C3_9","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_C3","yes","yes"
"10","D1","122",0.463333333333333,0.07125,0.110527762863619,2.34625,3.55777282541659,0.0351228904491186,0.00207061132880335,64.549,72.2336862274105,0.8925,0.35556293395122,0.00944444444444444,0.0176144645183826,7.23325,13.6108868064903,0,0.604741896758703,1.12864285714286,0.156031386748929,5.32280937161518,0.376484018028373,20.1934814814815,5.07443434036187,"MEA2192_02_04_21","122MEA2192_02_04_21","mcs","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21","DIV28","NANS","NANS","Patient","WTC","","","",NA,NA,NA,NA,NA,NA,0.604741896758703,0.0466666666666667,"D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_D1_10","D:/2024/Patient_Paper/PT_all_v2/Developmental/DIV28/122/MEA2192_02_04_21_D1","yes","yes"
